log_dir= logs/pretrain_duke2market-ECN
Namespace(arch='resnet50', batch_size=128, data_dir='/data/ustc/wbq/data', dist_metric='euclidean', dropout=0.5, epochs=200, epochs_decay=10, evaluate=False, features=4096, height=256, init_1='/data/ustc/wbq/ECN-contrast/logs/pretrain_duke2market-ECN/pre_checkpoint.pth.tar', inv_alpha=0.4, inv_beta=0.07, knn=18, lmd=0.3, logs_dir='logs/pretrain_duke2market-ECN', lr=0.1, momentum=0.9, output_feature='pool5', print_freq=1, re=0.5, resume='', source='duke', target='market', weight_decay=0.0005, width=128, workers=8)
DA dataset loaded
  subset   | # ids | # images
  ---------------------------
  source train    |   702 |    16522
  target train    | 'Unknown' |    12936
  query    |   750 |     3368
  gallery  |   751 |    15913
=> Loaded checkpoint '/data/ustc/wbq/ECN-contrast/logs/pretrain_duke2market-ECN/pre_checkpoint.pth.tar'
Epoch: [0][45/129], Time 0.903 (1.027), Data 0.010 (0.030), Loss 8.909 (9.426), Prec 97.66% (99.18%), s_pid_loss: 0.1936, t_un_loss: 8.6170, loss_tri_soft: 0.5847, loss_tri: 0.0756
Epoch: [0][46/129], Time 0.903 (1.024), Data 0.010 (0.029), Loss 8.758 (9.412), Prec 99.22% (99.18%), s_pid_loss: 0.2015, t_un_loss: 8.4664, loss_tri_soft: 0.5841, loss_tri: 0.0758
Epoch: [0][47/129], Time 0.892 (1.021), Data 0.010 (0.029), Loss 8.942 (9.402), Prec 97.66% (99.15%), s_pid_loss: 0.2618, t_un_loss: 8.6485, loss_tri_soft: 0.5879, loss_tri: 0.0757
Epoch: [0][48/129], Time 0.920 (1.019), Data 0.009 (0.028), Loss 9.046 (9.394), Prec 97.66% (99.12%), s_pid_loss: 0.2024, t_un_loss: 8.7528, loss_tri_soft: 0.5858, loss_tri: 0.0796
Epoch: [0][49/129], Time 0.904 (1.017), Data 0.010 (0.028), Loss 8.947 (9.385), Prec 99.22% (99.12%), s_pid_loss: 0.1644, t_un_loss: 8.6535, loss_tri_soft: 0.5878, loss_tri: 0.0774
Epoch: [0][50/129], Time 0.895 (1.014), Data 0.010 (0.028), Loss 8.814 (9.374), Prec 97.66% (99.09%), s_pid_loss: 0.2711, t_un_loss: 8.5191, loss_tri_soft: 0.5896, loss_tri: 0.0809
Epoch: [0][51/129], Time 0.938 (1.013), Data 0.009 (0.027), Loss 8.428 (9.355), Prec 99.22% (99.10%), s_pid_loss: 0.2042, t_un_loss: 8.1339, loss_tri_soft: 0.5879, loss_tri: 0.0816
Epoch: [0][52/129], Time 0.906 (1.011), Data 0.009 (0.027), Loss 8.619 (9.341), Prec 99.22% (99.10%), s_pid_loss: 0.2069, t_un_loss: 8.3260, loss_tri_soft: 0.5867, loss_tri: 0.0791
Epoch: [0][53/129], Time 0.898 (1.009), Data 0.009 (0.027), Loss 8.722 (9.329), Prec 96.88% (99.06%), s_pid_loss: 0.2809, t_un_loss: 8.4252, loss_tri_soft: 0.5930, loss_tri: 0.0855
Epoch: [0][54/129], Time 0.884 (1.006), Data 0.010 (0.026), Loss 8.687 (9.317), Prec 99.22% (99.06%), s_pid_loss: 0.2455, t_un_loss: 8.3928, loss_tri_soft: 0.5891, loss_tri: 0.0831
Epoch: [0][55/129], Time 0.914 (1.005), Data 0.009 (0.026), Loss 8.891 (9.310), Prec 99.22% (99.06%), s_pid_loss: 0.2225, t_un_loss: 8.5942, loss_tri_soft: 0.5927, loss_tri: 0.0896
Epoch: [0][56/129], Time 0.903 (1.003), Data 0.009 (0.026), Loss 8.811 (9.301), Prec 96.88% (99.02%), s_pid_loss: 0.3113, t_un_loss: 8.5142, loss_tri_soft: 0.5939, loss_tri: 0.0857
Epoch: [0][57/129], Time 0.887 (1.001), Data 0.010 (0.025), Loss 8.516 (9.287), Prec 97.66% (99.00%), s_pid_loss: 0.2729, t_un_loss: 8.2234, loss_tri_soft: 0.5861, loss_tri: 0.0839
Epoch: [0][58/129], Time 0.909 (0.999), Data 0.009 (0.025), Loss 8.847 (9.279), Prec 97.66% (98.98%), s_pid_loss: 0.3264, t_un_loss: 8.5529, loss_tri_soft: 0.5879, loss_tri: 0.0859
Epoch: [0][59/129], Time 0.889 (0.997), Data 0.010 (0.025), Loss 8.569 (9.267), Prec 99.22% (98.98%), s_pid_loss: 0.2492, t_un_loss: 8.2753, loss_tri_soft: 0.5882, loss_tri: 0.0845
Epoch: [0][60/129], Time 0.906 (0.996), Data 0.010 (0.025), Loss 8.569 (9.256), Prec 98.44% (98.97%), s_pid_loss: 0.2386, t_un_loss: 8.2774, loss_tri_soft: 0.5837, loss_tri: 0.0833
Epoch: [0][61/129], Time 0.929 (0.995), Data 0.009 (0.024), Loss 8.515 (9.244), Prec 95.31% (98.91%), s_pid_loss: 0.3805, t_un_loss: 8.2193, loss_tri_soft: 0.5912, loss_tri: 0.0876
Epoch: [0][62/129], Time 0.891 (0.993), Data 0.010 (0.024), Loss 8.381 (9.230), Prec 97.66% (98.89%), s_pid_loss: 0.2821, t_un_loss: 8.0882, loss_tri_soft: 0.5866, loss_tri: 0.0868
Epoch: [0][63/129], Time 0.917 (0.992), Data 0.009 (0.024), Loss 8.549 (9.219), Prec 97.66% (98.87%), s_pid_loss: 0.3066, t_un_loss: 8.2519, loss_tri_soft: 0.5934, loss_tri: 0.0922
Epoch: [0][64/129], Time 0.896 (0.990), Data 0.010 (0.024), Loss 8.486 (9.207), Prec 100.00% (98.89%), s_pid_loss: 0.2741, t_un_loss: 8.1902, loss_tri_soft: 0.5924, loss_tri: 0.0911
